reviewId,sentiments
085c912d-33d1-4bd5-abe1-9317d4ab43d9,negative
1650a338-6f19-43dc-925f-2ee2c6a44af7,positive
8082ebd2-1db4-453d-84f8-e38dc171f347,negative
f538edca-539d-43cc-b44c-e91c400f022b,negative
adebda13-5d90-4c9d-99cf-4a695cd5979a,negative
aaa8cda4-d982-46ff-96b7-7773d524f119,positive
16a91776-de30-4421-b2e9-bce01b2e9ac3,negative
06a18a00-5fa2-4178-bae6-bb12c92f47c0,positive
f61e023f-c442-4323-9ac4-20dfa6b231a3,positive
328547be-0530-4d71-b493-19e4ac5bdf00,negative
2e5478c3-f1d9-46f3-8ea8-eeea9a0fbc87,positive
c72b7e5e-0b59-4ee7-ad11-2e07dfa3b342,negative
1d6bcb85-228b-431e-b3eb-0f0d6c6d6d27,positive
1113cd30-74c1-4813-9e89-8af1e78bc98b,positive
700fad6d-2edd-41de-9ed9-83fc6d23ee12,positive
7339418d-592c-402f-8c7c-c1439bfa7b58,negative
ab3d9f90-81dd-4761-ae01-b4494b7c8a8e,positive
5c0304fa-7218-461c-8135-b26d08ac4b97,negative
530be51b-784f-418b-a865-83b3d41a383f,negative
77a8bf18-9040-484a-988c-b24dc64e68d3,positive
ba9fa9f6-7534-43df-a629-fe050d131f0d,negative
eeb76ec8-e4c5-4e70-9715-36ae75d066e1,negative
0eee9b03-205c-44e2-91d8-559b27446992,negative
93cca984-c1a8-4bf1-a91f-3753b7a3f825,negative
f6df4b50-f495-44c3-ac71-bad4884897d0,negative
6fb8f432-af03-44d2-8169-ad18851f92c6,negative
f3a6993d-80ae-4404-8b6b-695fc601ae3b,positive
82d90e0b-7b8f-47c9-a747-e476ac2c973a,positive
d55a4afa-12f8-4eea-938e-2b88d740bb32,positive
38a34130-0297-4457-92c0-c71599335eae,negative
58119008-d545-46bb-b627-664fdb2a4569,negative
13ddf040-5df9-4799-9800-a6b4827e03e0,negative
f2abdc51-637c-40a7-9500-b0f5eb5ac5b0,positive
f014f5a1-ac24-40d0-885a-c288b4b2686b,positive
f50d6a04-6d25-4ed4-936e-977f07c3d523,negative
19a30f6c-e0b3-49f9-95d4-0e5bb2632ca3,negative
c6076d77-4136-48cb-b844-da8d1f7562ac,positive
424297c9-0b2e-476a-835b-20881cf17c61,negative
f41b6e12-d0b0-4402-bca5-5e01ae342274,positive
7cf46c6a-2e8d-4c77-aa6f-8cac49eb44d6,neutral
ec2c2eef-7e44-45fd-b67b-5bf1d428b826,positive
4aea47af-4743-4831-9203-5c36d1ec2400,neutral
83550ec5-9898-42bb-9d17-599758a23d2a,negative
a1fbd38a-c03b-4c80-8a1e-4f0dc36673b8,positive
